DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
ÖZEL,2019/004,2019-01-22,İNCİRLİ SAĞLIK VE SOSYAL TESİSLERİ A.Ş.,ETİCA HASTANESİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2019/02-001,2019-01-25 00:00:00,3,
ÖZEL,2019/005,2019-04-04,TÜRKİYE PETROLLERİ A.Ş.,ALİAĞA DEVLET HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,*,2019/02-018,2019-03-23 00:00:00,30,
ÖZEL,2019/009,2019-01-24,ER-PA ÖZEL DENİZLİ SAĞLIK HAS.A.Ş.,ER-PA ÖZEL DENİZLİ SAĞLIK HAS.A.Ş.,DENİZLİ,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-002,2019-03-24 00:00:00,59,
DMO,2019/021,2019-02-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-027,2019-06-14 00:00:00,126,
DMO,2019/035,2019-04-24,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN GERCÜŞ DEVLET HASTANESİ,BATMAN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-004,2019-06-17 00:00:00,54,
YURTDIŞI,2019/042,2019-02-20,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-005,2019-03-01 00:00:00,9,
YURTDIŞI,2019/052,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-006,2019-03-30 00:00:00,30,
YURTDIŞI,2019/053,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-007,2019-03-30 00:00:00,30,
YURTDIŞI,2019/054,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-008,2019-03-30 00:00:00,30,
YURTDIŞI,2019/055,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-009,2019-03-30 00:00:00,30,
YURTDIŞI,2019/056,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-010,2019-03-30 00:00:00,30,
YURTDIŞI,2019/057,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-011,2019-03-30 00:00:00,30,
YURTDIŞI,2019/058,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-012,2019-03-30 00:00:00,30,
YURTDIŞI,2019/063,2019-03-04,UKRAYNA 2,UKRAYNA 2,UKRAYNA 2,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-013,2019-03-14 00:00:00,10,
YURTDIŞI,2019/064,2019-03-04,UKRAYNA 2,UKRAYNA 2,UKRAYNA 2,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-014,2019-03-14 00:00:00,10,
ÖZEL,2019/065,2019-03-18,YÜKSELİŞ HASTANE EKİPMANLARI,TOKUŞTEPE TİBBİ CİHAZLAR,ANKARA,TKF 1100 S,AMELİYAT MASASI,*,2019/02-003,2019-04-18 00:00:00,31,
YURTDIŞI,2019/067,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-015,2019-04-18 00:00:00,28,
DMO,2019/079,2019-04-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-016,2019-04-19 00:00:00,15,
DMO,2019/080,2019-04-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-017,2019-04-20 00:00:00,16,
DMO,2019/088,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-019,2019-06-14 00:00:00,59,
DMO,2019/089,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-020,2019-06-14 00:00:00,59,
DMO,2019/090,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-021,2019-06-14 00:00:00,59,
DMO,2019/091,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-022,2019-06-14 00:00:00,59,
DMO,2019/092,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-023,2019-06-14 00:00:00,59,
DMO,2019/093,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-024,2019-06-14 00:00:00,59,
DMO,2019/094,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-025,2019-06-14 00:00:00,59,
DMO,2019/095,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-026,2019-06-14 00:00:00,59,
YURTDIŞI,2019/112,2019-05-08,VİTTA,VİTTA,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-027,2019-06-01 00:00:00,24,
YURTDIŞI,2019/113,2019-05-08,VİTTA,VİTTA,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-028,2019-06-01 00:00:00,24,
DMO,2019/133,2019-11-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA E ARAŞTRIMA HASTANESİ,SİVAS,ERM 2000 F,AMELİYAT MASASI,*,2019/02-073,2020-01-25 00:00:00,59,
DMO,2019/134,2019-06-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-033,2019-08-20 00:00:00,54,
DMO,2019/143,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-029,2019-07-23 00:00:00,54,
YURTDIŞI,2019/151,2019-10-25,BO TECH,BO TECH,FAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-031,2019-10-29 00:00:00,4,
DMO,2019/152,2019-11-22,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-032,2019-11-23 00:00:00,1,
DMO,2019/153,2019-06-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-033,2019-08-20 00:00:00,54,
DMO,2019/154,2019-06-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-034,2019-08-20 00:00:00,54,
İHALE,2019/155,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-036,2019-08-10 00:00:00,39,
