DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2024,KURULUM YERİ /2024,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
DMO,2023/428,2024-02-20,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,TUNCELİ İL SAĞLIK MÜDÜRLÜĞÜ,TUNCELİ,ERM 2000 F,AMELİYAT MASASI,,,60 GÜN,,
ÖZEL,2024/149,2024-01-19,ORDU GÜRGENTEPE DEVLET HASTANESİ,ORDU GÜRGENTEPE DEVLET HASTANESİ,ORDU,ERM 2000 F,AMELİYAT MASASI,,2024/02-035,60 GÜN,,HİBE
ÖZEL,2024/151,2024-09-02,ÖNDER GRUP MAKİNE İTH. İHR. SAN. TİC. A.Ş.,TURGUTLU DEVLET HASTANESİ,MANİSA,ERM 2000 F,AMELİYAT MASASI,,2024/02-036,60 GÜN,2024-07-13,
ÖZEL,2023/344,2024-01-25,EREN ENERJİ A.Ş.,BİTLİS DEVLET HASTANESİ,BİTLİS,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-001,60 GÜN,,
ÖZEL,2023/345,2024-01-25,EREN ENERJİ A.Ş.,BİTLİS DEVLET HASTANESİ,BİTLİS,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-002,60 GÜN,,
ÖZEL,2023/389,2024-01-25,EREN ENERJİ A.Ş.,BİTLİS DEVLET HASTANESİ,BİTLİS,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-003,60 GÜN,,
YURTDIŞI,2024/167,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-004,60 GÜN,,
YURTDIŞI,2024/168,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-005,60 GÜN,,
YURTDIŞI,2024/169,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-006,60 GÜN,,
YURTDIŞI,2024/170,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-007,60 GÜN,,
YURTDIŞI,2023/390,2024-02-14,IP,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-008,60 GÜN,,
YURTDIŞI,2023/392,2024-02-14,IP,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-009,60 GÜN,,
DMO,2023/430,2024-02-20,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,TUNCELİ İL SAĞLIK MÜDÜRLÜĞÜ,TUNCELİ,ERM 2000 F,AMELİYAT MASASI,,2024/02-010,60 GÜN,2024-04-20,
YURTDIŞI,2022/503,2022-12-07,FAS,FAS,FAS,GOLDBERG 3 S,AMELİYAT MASASI,aşağıda,2024/02-030,60 GÜN,2024-05-10,
ÖZEL,2023/164,2024-08-16,GHS DANIŞMANLIK MÜHENDİSLİK SAĞLIK HİZMETLERİ SAN. TİC. A.Ş.,GHS DANIŞMANLIK MÜHENDİSLİK SAĞLIK HİZMETLERİ SAN. TİC. A.Ş.,İSTANBUL,GOLDBERG 4 S,AMELİYAT MASASI,,2024/02-031,60 GÜN,2024-08-17,
ÖZEL,2023/283,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-012,60 GÜN,,
DMO,2023/391,2024-04-19,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SELÇUK ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,KONYA,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-013,60 GÜN,2024-06-18,
