DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
YURTDIŞI,2020/041,2020-02-03,MED İNSPİRE TEKNOLOGİES,MED İNSPİRE TEKNOLOGİES,ÖZBEKİSTAN,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-025,29,2020-03-03,
YURTDIŞI,2020/149,2020-02-21,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,,28,2020-03-20,
YURTDIŞI,2019/345,2020-03-17,AL AZHER PRİVATE HOSPİTAL,AL AZHER PRİVATE HOSPİTAL,IRAK,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-026,30,2020-04-16,
DMO,2019/348,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-033,11,2020-05-10,
DMO,2019/349,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-034,11,2020-05-10,
DMO,2020/065,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-035,11,2020-05-10,
DMO,2020/169,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-036,11,2020-05-10,
DMO,2020/072,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-037,11,2020-05-10,
YURTDIŞI,2019/121,2020-03-03,ZARMED HOSPİTAL,ZARMED HOSPİTAL,ÖZBEKİSTAN,GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-038,68,2020-05-10,
YURTDIŞI,2019/346,2020-06-08,ARCANS,ARCANS,ÖZBEKİSTAN,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-027,22,2020-06-30,
DMO,2020/264,2020-06-26,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN VEZİRKÖPRÜ DEVLET HASTANESİ,SAMSUN,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-039,59,2020-08-24,
YURTDIŞI,2019/140,2020-07-04,NİCU,NİCU,ROMANYA,GP 160 S,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2019/04-013,32,2020-08-05,
YURTDIŞI,2020/290,2020-07-04,NİCU,NİCU,ROMANYA,GP 200 D,200 LT ÇİFT KAPILI PLAZMA CİHAZI,200 LT,2019/04-023,32,2020-08-05,
YURTDIŞI,2020/299,2020-08-05,"MME,LLC","MME,LLC",UKRAYNA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-021,30,2020-09-04,
YURTDIŞI,2020/330,2020-09-21,ROHİT SURGİCAL,ROHİT SURGİCAL,HİNDİSTAN,GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,135 LT,2020/04-001,12,2020-10-03,
YURTDIŞI,2020/331,2020-09-21,ROHİT SURGİCAL,ROHİT SURGİCAL,HİNDİSTAN,GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,135 LT,2020/04-002,12,2020-10-03,
DMO,2020/343,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-028,11,2020-10-02,
DMO,2020/344,2020-09-25,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,İSLAHİYE DEVLET HASTANESİ,GAZİANTEP,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-016,64,2020-11-28,
YURTDIŞI,2020/406,2020-12-24,AFRİCAN RELİEF COMİTTEE,AFRİCAN RELİEF COMİTTEE,SOMALİLAND,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-031,6,2020-12-30,
ÖZEL,2019/343,2020-12-03,CAN KAPTAN GEMİ İNŞ.,CAN KAPTAN GEMİ İNŞ.,YALOVA,TSP 160,160 LT ÇİFT  KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2019/04-024,2,2020-12-05,
DMO,2020/492,2020-11-27,DMO GENEL MÜDÜRLÜĞÜ,ANKARA MESLEKİ VE ÇEVRESEL HASTALIKLAR HASTANESİ,ANKARA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-032,59,2021-01-25,
YURTDIŞI,2019/120,2020-12-17,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-014,13,2020-12-30,
ÖZEL,2020/148,2020-12-07,KUVEYT TURK KATLIM BANKASI A.Ş.,ÖZEL VATAN HASTANESİ,KAHRAMANMARAŞ,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2019/04-012,13,2020-12-20,
