DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
YURTDIŞI,2020/411,2021-01-13,CHALBI INDUSTRIES LTD.,CHALBI INDUSTRIES LTD.,KENYA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-029,2021-01-28 00:00:00,15,
YURTDIŞI,2018/342,2021-01-14,HEENT INSTITUTE PVT LTD.,HEENT INSTITUTE PVT LTD.,ZIMBABWE,GP 120 D,120 LT ÇİFT KAPILI PLAZMA CİHAZI,120 LT,2019/04-014,2021-01-28 00:00:00,14,
DMO,2021/165,2021-02-02,DMO GENEL MÜDÜRLÜĞÜ,ATATÜRK GÖĞÜS HASTALIKLARI HASTANESİ,ANKARA,GP 120 ,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2019/04-030,2021-02-02 00:00:00,0,
DMO,2021/018,2021-03-19,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,ARDAHAN DEVLET HASTANESİ,ARDAHAN,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-005,2021-05-17 00:00:00,59,
DMO,2021/019,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GP 120 ,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-002,2021-03-21 00:00:00,37,
YURTDIŞI,2020/149,2021-02-21,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-001,2021-03-22 00:00:00,29,
YURTDIŞI,2021/240,2021-02-25,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-016,2021-03-10 00:00:00,13,
ÖZEL,2021/055,2021-03-22,ETA 21 İNŞAAT ELEKTRİK,ETA 21 İNŞAAT ELEKTRİK,DİYARBAKIR,TSP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-006,2021-04-05 00:00:00,14,
YURTDIŞI,2019/342,2021-03-12,OLIVER TREE,OLIVER TREE,LÜBNAN,GP 160 D,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT CİHAZI,160 LT,2021/04-004,2021-03-22 00:00:00,10,
DMO,2021/160,2021-04-19,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-007,2021-06-22 00:00:00,64,
YURTDIŞI,2019/141,2021-04-22,ELCOM MÜHENDİSLİK,ELCOM MÜHENDİSLİK,,GP 160 ,160 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,160 LT,2021/04-008,2021-05-14 00:00:00,22,
YURTDIŞI,2021/017,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-021,31.11.2021,30,
DMO,2021/166,2021-05-07,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,DOĞUBEYAZIT DEVLET HASTANESİ,AĞRI,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-009,2021-07-10 00:00:00,64,
DMO,2021/167,2021-05-07,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,PATNOS DEVLET HASTANESİ,AĞRI,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-010,2021-07-10 00:00:00,64,
