DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2024,KURULUM YERİ /2024,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
YURTDIŞI,2024/141,2024-02-08,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-001,60 GÜN,2024-03-08,
DMO,2024/142,2024-01-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-002,60 GÜN,2024-03-09,
DMO,2024/143,2024-01-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-003,60 GÜN,2024-03-10,
YURTDIŞI,2024/144,2024-03-06,NİCU,ROMANYA,ROMANYA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-004,60 GÜN,2024-03-11,
YURTDIŞI,2024/152,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2024/04-028,60 GÜN,2024-06-10,
YURTDIŞI,2022/071,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2024/04-030,60 GÜN,2024-06-10,
ÖZEL,2022/072,2024-07-26,KÜTAHYA EVLİYA ÇELEBİ EĞİTİM VE ARAŞTIRMA HASTANESİ,KÜTAHYA EVLİYA ÇELEBİ EĞİTİM VE ARAŞTIRMA HASTANESİ,KÜTAHYA,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2024/04-031,60 GÜN,2024-08-01,KASET KARŞILIĞI GÖNDERİLMİŞTİR.
YURTDIŞI,2022/179,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,135 LT,2024/04-024,60 GÜN,2024-06-10,
YURTDIŞI,2022/178,2024-03-27,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 135 D,135 LT ÇİFT KAPILI PLAZMA STERİLİZATÖR,135 LT,2024/04-005,60 GÜN,2024-04-17,
ÖZEL,2024/277,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-038,60 GÜN,2024-04-18,
YURTDIŞI,2024/212,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-014,60 GÜN,2024-06-10,
İHALE,2024/213,2024-07-16,ÇANAKKALE İL SAĞLIK MÜDÜRLÜĞÜ,ÇANAKKALE BİGA DEVLET HASTANESİ,ÇANAKKALE,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-015,60 GÜN,2024-08-15,GAZ KASETİ KARŞILIĞI GÖNDERİLMİŞTİR.
DMO,2024/214,2024-07-19,DMO MERSİN İRTİBAT BÜROSU,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ İDARİ VE MALİ İŞLER DAİRE BAŞKANLIĞI,KARAMAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-016,60 GÜN,2024-09-17,
DMO,2024/215,2024-09-30,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ- DÜZİÇİ DEVLET HASTANESİ,OSMANİYE,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-006,65 GÜN,2024-12-04,
YURTDIŞI,2024/227,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-036,60 GÜN,2024-06-10,
YURTDIŞI,2024/228,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 135,135 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,135 LT,2024/04-037,60 GÜN,2024-06-10,
YURTDIŞI,2024/211,2024-08-03,MME LLC,UKRAYNA,UKRAYNA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-013,60 GÜN,2024-06-11,
