DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ
DMO,2019/001,2019-03-15,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-012,2019-05-08,
YURTDIŞI,2019/002,2019-01-02,TSA SOLUCİONES MEDİCAS CİA LTDA,TSA SOLUCİONES MEDİCAS CİA LTDA,EKVATOR,STR 5512 S,300 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-001,2019-01-28,
ÖZEL,2019/003,2019-01-10,GÖRSEL ÖZEL TIP LTD.,GÖRSEL ÖZEL TIP LTD.,ANKARA,STR 4410 D,160 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-002,2019-01-25,
ÖZEL,2019/010,2019-01-28,ER-PA ÖZEL DENİZLİ SAĞLIK HASTANESİ A.Ş.,ER-PA ÖZEL DENİZLİ SAĞLIK HASTANESİ A.Ş.,DENİZLİ,STR 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-003,2019-02-11,
DMO,2019/011,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-006,2019-03-19,
DMO,2019/012,2019-01-28,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-007,2019-03-19,
YURTDIŞI,2019/020,2019-02-08,"MME LLC,ALEXANDER","MME LLC,ALEXANDER",UKRAYNA,STR 4407 D,120 LT ÇİFT KAPILI OTOKLAV CİHAZI,120 LT,2019/01-004,2019-03-08,
DMO,2019/022,2019-02-12,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA MİLAS 75.YIL DEVLET HASTANESİ,MUĞLA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT ,2019/01-024,2019-07-01,
DMO,2019/023,2019-08-23,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN ADSM,BATMAN,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT ,2019/01-050,2019-10-16,
DMO,2019/024,2019-04-24,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN GERCÜŞ DEVLET HASTANESİ,BATMAN,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT ,2019/01-018,2019-06-17,
ÖZEL,2019/025,2019-05-11,ORMED ÖZEL SAĞLIK MEDİKAL LTD.ŞTİ.,ÖZEL ORDU UMUT HASTANESİ,ORDU,STR 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT ,2019/01-025,2019-05-15,
DMO,2019/026,2019-03-15,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT ,2019/01-011,2019-05-08,
DMO,2019/027,2019-06-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,ANTALYA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT ,2019/01-040,2019-08-20,
DMO,2019/028,2019-02-22,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ÜSKÜDAR ADSM,İSTANBUL,ERS 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-009,2019-04-17,
ÖZEL,2019/029,2019-07-19,ÖZEL YENİŞEHİR HASTANESİ,ANADOLU ÖZEL TIP HİZMETLERİ SAN.TİC.AŞ.,MERSİN,STR 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-031,2019-08-01,
DMO,2019/030,2019-02-22,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ÜSKÜDAR ADSM,İSTANBUL,ERS 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-008,2019-04-17,
YURTDIŞI,2019/031,2019-11-12,3G COM,3G COM,FAS,STR 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-045,2019-12-05,
DMO,2019/032,2019-11-05,DMO PAZARLAMA GENEL MÜDÜRLÜĞÜ,BAYAT DEVLET HATSANESİ,ÇORUM,ERS 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-039,2019-11-19,
DMO,2019/033,2019-11-05,DMO VAN BÖLGE MÜDÜRLÜĞÜ,BİTLİS DEVLET HASTANESİ,BİTLİS,GOLDBERG 840 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-052,2020-01-08,
DMO,2019/034,2019-11-05,DMO VAN BÖLGE MÜDÜRLÜĞÜ,BİTLİS DEVLET HASTANESİ,BİTLİS,GOLDBERG 840 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-053,2020-01-08,
DMO,2019/036,2019-02-15,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİLE DEVLET HASTANESİ,İSTANBUL,ERS 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-005,2019-04-10,
ÖZEL,2019/065,2019-03-13,DESA MEDİKAL A.Ş.,DESA MEDİKAL A.Ş.,ANKARA,STR 4407 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-010,2019-04-11,
YURTDIŞI,2019/068,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,STR 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-013,2019-04-18,
YURTDIŞI,2019/071,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,STR 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-014,2019-04-18,
YURTDIŞI,2019/086,2019-04-15,FAS,FAS,FAS,GOLDBERG 300 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-016,2019-04-20,
YURTDIŞI,2019/109,2019-04-15,FAS,FAS,FAS,GOLDBERG 300 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-017,2019-04-21,
İHALE,2019/102,2019-04-27,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA,STR 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-019,2019-06-03,
İHALE,2019/103,2019-04-27,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA,STR 7712 D,675 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,675 LT,2019/01-020,2019-06-03,
YURTDIŞI,2019/087,2019-05-08,ALHİKMA HOSPİTAL,ALHİKMA HOSPİTAL,LİBYA,GOLDBERG 300 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-021,2019-06-20,
YURTDIŞI,2019/110,2019-05-08,VİTTA,VİTTA,AZERBEYCAN,GOLDBERG 160 S,160 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-022,2019-06-01,
YURTDIŞI,2019/111,2019-05-08,VİTTA,VİTTA,AZERBEYCAN,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-023,2019-06-01,
YURTDIŞI,2019/115,2019-05-11,ŞİLİ,ŞİLİ,ŞİLİ,GOLDBERG 160 D,160 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-026,2019-05-30,
YURTDIŞI,2019/125,2019-05-16,GİNE,GİNE,GİNE,GOLDBERG 422 S,422 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-027,2019-05-31,
YURTDIŞI,2019/126,2019-05-16,GİNE,GİNE,GİNE,GOLDBERG 422 S,422 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-028,2019-06-01,
DMO,2019/127,2019-06-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,ANTALYA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-041,2019-08-20,
ÖZEL,2019/129,2019-05-20,YAŞAM SAĞLIK HİZMETLERİ VE TÜP BEBEK TİC.AŞ.,KAYSERİ MEDİKAL PALACE HASTANESİ,KAYSERİ,GOLDBERG 675 D,675 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,675,2019/01-029,2019-05-21,
DMO,2019/130,2019-05-21,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİİRT ERUH DEVLET HASTANESİ,SİİRT,ERS 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-030,2019-07-09,
