DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
ÖZEL,2019/326,2022-11-09,İNNOMED LABORATUVAR İTH. İHR. SAN. TİC. LTD. ŞTİ.,İNNOMED LABORATUVAR İTH. İHR. SAN. TİC. LTD. ŞTİ.,İSTANBUL,GOLDBERG 250 S,250 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2022/01-164,,2022-12-09,
YURTDIŞI,2021/020,2022-04-13,KONGO,KONGO,KONGO,GOLDBERG 840 D-REVİZYON,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2022/01-036,,2022-05-04,
2024 e aktarıldı,2022/001,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/002,2023-02-15,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/003,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/004,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/005,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/006,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/007,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/008,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
2024 e aktarıldı,2022/009,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,,,,
YURTDIŞI,2022/010,2022-05-11,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-043,,2022-06-06,
YURTDIŞI,2022/011,2022-08-08,LABORİN-PHARMA,KAZAKİSTAN,KAZAKİSTAN,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-077,,2022-08-12,
YURTDIŞI,2022/012,2022-05-11,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-044,,2022-06-06,
2024 e aktarıldı,2022/013,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,,,,
2024 e aktarıldı,2022/014,2022-04-13,2024 e aktarıldı,2024 e aktarıldı,STOK,GOLDBERG 100,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2022/01-032,,,
ÖZEL,2022/015,2022-01-06,MDR BİYOTEKNOLOJİ,MDR BİYOTEKNOLOJİ,MDR BİYOTEKNOLOJİ,ES 100,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2023/01-001,(ALYANS MEDİKALE GÖNDERİLEN CİHAZ İLE AYNI SERİ NUMARASI İLE ÜRETİLDİ),,
2024 e aktarıldı,2022/016,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,TEK CİDAR,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,,,,
2024 e aktarıldı,2022/017,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,TEK CİDAR,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,,,,
2023 YILINA AKTARILDI,2022/018,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,,,,
2023 YILINA AKTARILDI,2022/019,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,,,,
2023 YILINA AKTARILDI,2022/020,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,120 LT TEK KAPILI OTOKLAV CİHAZI (40*40),120 LT,,,,
2024 e aktarıldı,2022/021,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI (40*40),120 LT,,,,
2023 YILINA AKTARILDI,2022/022,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,,,,
