DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ
ÖZEL,2020/001,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-001,2020-02-01 00:00:00,
ÖZEL,2020/002,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-002,2020-02-01 00:00:00,
ÖZEL,2020/003,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-003,2020-02-01 00:00:00,
ÖZEL,2020/004,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-004,2020-02-01 00:00:00,
ÖZEL,2020/005,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-005,2020-02-01 00:00:00,
ÖZEL,2020/006,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-006,2020-02-01 00:00:00,
ÖZEL,2020/007,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-007,2020-02-01 00:00:00,
ÖZEL,2020/008,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-008,2020-02-01 00:00:00,
ÖZEL,2020/009,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-009,2020-02-01 00:00:00,
ÖZEL,2020/010,2019-12-17 00:00:00,ADAY GRUP,ETİYOPYA,ETİYOPYA,GOLDBERG 100 V,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2020/01-010,2020-02-01 00:00:00,
